GEO,Year,region,decile,Type,value,UOM
Iran,91,Urban,3,Total Expenditure per capita,2461106.705,Rials per month
Iran,91,Urban,1,Total Expenditure per capita,1379787.46,Rials per month
Iran,91,Urban,5,Total Expenditure per capita,3461399.559,Rials per month
Iran,91,Urban,7,Total Expenditure per capita,4801751.024,Rials per month
Iran,91,Urban,6,Total Expenditure per capita,4063468.27,Rials per month
Iran,91,Urban,2,Total Expenditure per capita,1984705.69,Rials per month
Iran,91,Rural,1,Total Expenditure per capita,1302126.715,Rials per month
Iran,91,Rural,6,Total Expenditure per capita,4047309.485,Rials per month
Iran,91,Rural,7,Total Expenditure per capita,4778369.129,Rials per month
Iran,91,Rural,3,Total Expenditure per capita,2442936.519,Rials per month
Iran,91,Rural,5,Total Expenditure per capita,3464398.165,Rials per month
Iran,91,Rural,10,Total Expenditure per capita,13708486.73,Rials per month
Iran,91,Rural,9,Total Expenditure per capita,7472005.323,Rials per month
Iran,91,Rural,4,Total Expenditure per capita,2938779.334,Rials per month
Iran,91,Rural,2,Total Expenditure per capita,1961160.935,Rials per month
Iran,91,Rural,8,Total Expenditure per capita,5803156.753,Rials per month
Iran,92,Total,3,Total Expenditure per capita,3210826.458,Rials per month
Iran,92,Total,2,Total Expenditure per capita,2599291.737,Rials per month
Iran,92,Total,8,Total Expenditure per capita,7390389.804,Rials per month
Iran,92,Total,9,Total Expenditure per capita,9576805.961,Rials per month
Iran,92,Total,10,Total Expenditure per capita,19690832.36,Rials per month
Iran,92,Total,4,Total Expenditure per capita,3793962.142,Rials per month
Iran,92,Total,5,Total Expenditure per capita,4425308.092,Rials per month
Iran,92,Total,6,Total Expenditure per capita,5180366.628,Rials per month
Iran,92,Total,7,Total Expenditure per capita,6127434.299,Rials per month
Iran,92,Total,1,Total Expenditure per capita,1736198.463,Rials per month
Iran,92,Urban,3,Total Expenditure per capita,3211464.057,Rials per month
Iran,92,Urban,2,Total Expenditure per capita,2611310.11,Rials per month
Iran,92,Urban,8,Total Expenditure per capita,7396533.658,Rials per month
Iran,92,Urban,9,Total Expenditure per capita,9592501.771,Rials per month
Iran,92,Urban,10,Total Expenditure per capita,20029417.81,Rials per month
Iran,92,Urban,4,Total Expenditure per capita,3799896.72,Rials per month
Iran,92,Urban,5,Total Expenditure per capita,4425759.149,Rials per month
Iran,92,Urban,6,Total Expenditure per capita,5184682.216,Rials per month
Iran,92,Urban,7,Total Expenditure per capita,6133741.178,Rials per month
Iran,92,Urban,1,Total Expenditure per capita,1813458.342,Rials per month
Iran,92,Rural,2,Total Expenditure per capita,2585675.514,Rials per month
Iran,92,Rural,4,Total Expenditure per capita,3780157.195,Rials per month
Iran,92,Rural,10,Total Expenditure per capita,16192379.19,Rials per month
Iran,92,Rural,1,Total Expenditure per capita,1687749.902,Rials per month
Iran,92,Rural,3,Total Expenditure per capita,3209739.106,Rials per month
Iran,92,Rural,7,Total Expenditure per capita,6099283.425,Rials per month
Iran,92,Rural,6,Total Expenditure per capita,5165983.768,Rials per month
Iran,92,Rural,5,Total Expenditure per capita,4424074.525,Rials per month
Iran,92,Rural,9,Total Expenditure per capita,9478345.244,Rials per month
Iran,92,Rural,8,Total Expenditure per capita,7356230.029,Rials per month
Iran,93,Total,3,Total Expenditure per capita,3529806.787,Rials per month
Iran,93,Total,2,Total Expenditure per capita,2788973.47,Rials per month
Iran,93,Total,7,Total Expenditure per capita,6823515.075,Rials per month
Iran,93,Total,1,Total Expenditure per capita,1760315.246,Rials per month
Iran,93,Total,6,Total Expenditure per capita,5753993.4,Rials per month
Iran,93,Total,5,Total Expenditure per capita,4943269.355,Rials per month
Iran,93,Total,4,Total Expenditure per capita,4229417.274,Rials per month
Iran,93,Total,9,Total Expenditure per capita,10817470.62,Rials per month
Iran,93,Total,10,Total Expenditure per capita,22411330.31,Rials per month
Iran,93,Total,8,Total Expenditure per capita,8302600.772,Rials per month
Iran,93,Urban,3,Total Expenditure per capita,3535084.983,Rials per month
Iran,93,Urban,2,Total Expenditure per capita,2799530.607,Rials per month
Iran,93,Urban,7,Total Expenditure per capita,6827328.779,Rials per month
Iran,93,Urban,1,Total Expenditure per capita,1873771.114,Rials per month
Iran,93,Urban,6,Total Expenditure per capita,5756140.93,Rials per month
Iran,93,Urban,5,Total Expenditure per capita,4941809.828,Rials per month
