Year,GEO,Province,UOM,value
92,Iran,Semnan,Food Expenditure (Rials) per month per capita,1237016.35
92,Iran,Yazd,Food Expenditure (Rials) per month per capita,1190485.402
92,Iran,Hormozgan,Food Expenditure (Rials) per month per capita,1333697.148
92,Iran,Tehran,Food Expenditure (Rials) per month per capita,1384274.626
92,Iran,Ardabil,Food Expenditure (Rials) per month per capita,1411447.348
92,Iran,Qom,Food Expenditure (Rials) per month per capita,661144.0402
92,Iran,Qazvin,Food Expenditure (Rials) per month per capita,1311844.071
92,Iran,Golestan,Food Expenditure (Rials) per month per capita,1009200.34
92,Iran,North Khorasan,Food Expenditure (Rials) per month per capita,1174558.466
92,Iran,South Khorasan,Food Expenditure (Rials) per month per capita,1755865.984
92,Iran,Alborz,Food Expenditure (Rials) per month per capita,1281211.34
91,Iran,Markazi,Food Expenditure (Rials) per month per capita,1155785.972
91,Iran,Gilan,Food Expenditure (Rials) per month per capita,1207045.195
91,Iran,Mazandaran,Food Expenditure (Rials) per month per capita,1070959.65
91,Iran,East Azarbaijan,Food Expenditure (Rials) per month per capita,1084591.322
91,Iran,West Azarbaijan,Food Expenditure (Rials) per month per capita,1065821.366
91,Iran,Kermanshah,Food Expenditure (Rials) per month per capita,1108511.244
91,Iran,Khuzestan,Food Expenditure (Rials) per month per capita,1313696.97
91,Iran,Fars,Food Expenditure (Rials) per month per capita,1132394.95
91,Iran,Kerman,Food Expenditure (Rials) per month per capita,793696.3357
91,Iran,Razavi Khorasan,Food Expenditure (Rials) per month per capita,1070618.208
91,Iran,Esfahan,Food Expenditure (Rials) per month per capita,1197588.764
91,Iran,Sistan and Baluchistan,Food Expenditure (Rials) per month per capita,794617.5673
91,Iran,Kurdistan,Food Expenditure (Rials) per month per capita,977568.0346
91,Iran,Hamadan,Food Expenditure (Rials) per month per capita,919110.5331
91,Iran,Chahar Mahaal and Bakhtiari,Food Expenditure (Rials) per month per capita,1192782.585
91,Iran,Lorestan,Food Expenditure (Rials) per month per capita,1003904.042
91,Iran,Ilam,Food Expenditure (Rials) per month per capita,834552.4338
91,Iran,Kohkiluyeh and Buyer Ahmad,Food Expenditure (Rials) per month per capita,963502.3153
91,Iran,Bushehr,Food Expenditure (Rials) per month per capita,768220.0183
91,Iran,Zanjan,Food Expenditure (Rials) per month per capita,1400360.627
91,Iran,Semnan,Food Expenditure (Rials) per month per capita,950664.2765
91,Iran,Yazd,Food Expenditure (Rials) per month per capita,1018880.791
91,Iran,South Khorasan,Food Expenditure (Rials) per month per capita,1209550.138
91,Iran,Hormozgan,Food Expenditure (Rials) per month per capita,1087214.806
91,Iran,Tehran,Food Expenditure (Rials) per month per capita,1079163.181
91,Iran,Ardabil,Food Expenditure (Rials) per month per capita,1232575.519
91,Iran,Qom,Food Expenditure (Rials) per month per capita,593793.7825
91,Iran,Qazvin,Food Expenditure (Rials) per month per capita,1012700.793
91,Iran,Golestan,Food Expenditure (Rials) per month per capita,790972.3301
91,Iran,North Khorasan,Food Expenditure (Rials) per month per capita,913173.0629
91,Iran,Alborz,Food Expenditure (Rials) per month per capita,863637.1037
90,Iran,Markazi,Food Expenditure (Rials) per month per capita,863815.4799
