Year,Decile,value,Variable
95,4,0.820680813,Cigar
95,5,0.773822084,Cigar
95,6,0.683356823,Cigar
95,7,0.754038741,Cigar
95,8,0.555077938,Cigar
95,9,0.589867364,Cigar
95,10,0.444335291,Cigar
96,1,1.102410305,Cigar
96,2,0.950161848,Cigar
96,3,0.871618298,Cigar
96,4,0.867466583,Cigar
96,5,0.789023315,Cigar
96,6,0.796219209,Cigar
96,7,0.724348047,Cigar
96,8,0.583572824,Cigar
96,9,0.591726951,Cigar
96,10,0.458634399,Cigar
87,1,41.48210526,"Housing, utilities, and energy"
87,2,38.14421327,"Housing, utilities, and energy"
87,3,35.68090941,"Housing, utilities, and energy"
87,4,33.9905302,"Housing, utilities, and energy"
87,5,31.84250269,"Housing, utilities, and energy"
87,6,32.57864988,"Housing, utilities, and energy"
87,7,29.65459786,"Housing, utilities, and energy"
87,8,29.79889308,"Housing, utilities, and energy"
87,9,25.84113944,"Housing, utilities, and energy"
87,10,20.83708875,"Housing, utilities, and energy"
88,1,40.71552196,"Housing, utilities, and energy"
88,2,39.06939893,"Housing, utilities, and energy"
88,3,35.72411039,"Housing, utilities, and energy"
88,4,35.57084935,"Housing, utilities, and energy"
88,5,30.11858418,"Housing, utilities, and energy"
88,6,31.06477315,"Housing, utilities, and energy"
88,7,29.32295052,"Housing, utilities, and energy"
88,8,28.94305481,"Housing, utilities, and energy"
88,9,27.82702066,"Housing, utilities, and energy"
88,10,22.55790849,"Housing, utilities, and energy"
89,1,41.05650363,"Housing, utilities, and energy"
89,2,37.91169007,"Housing, utilities, and energy"
89,3,45.34650548,"Housing, utilities, and energy"
89,4,33.93563236,"Housing, utilities, and energy"
89,5,42.11063856,"Housing, utilities, and energy"
89,6,32.04361563,"Housing, utilities, and energy"
89,7,30.20192197,"Housing, utilities, and energy"
89,8,28.27873793,"Housing, utilities, and energy"
89,9,25.63323509,"Housing, utilities, and energy"
89,10,23.4650601,"Housing, utilities, and energy"
90,1,39.42418079,"Housing, utilities, and energy"
90,2,36.23900265,"Housing, utilities, and energy"
90,3,36.9778448,"Housing, utilities, and energy"
90,4,34.68619145,"Housing, utilities, and energy"
90,5,33.6991308,"Housing, utilities, and energy"
90,6,31.57792033,"Housing, utilities, and energy"
90,7,31.28744649,"Housing, utilities, and energy"
90,8,29.32439923,"Housing, utilities, and energy"
90,9,27.27358422,"Housing, utilities, and energy"
90,10,25.28085272,"Housing, utilities, and energy"
91,1,38.26339373,"Housing, utilities, and energy"
91,2,35.18519077,"Housing, utilities, and energy"
91,3,34.41316977,"Housing, utilities, and energy"
91,4,33.13142054,"Housing, utilities, and energy"
91,5,30.6409985,"Housing, utilities, and energy"
91,6,25.2579142,"Housing, utilities, and energy"
91,7,27.82456934,"Housing, utilities, and energy"
91,8,27.69474574,"Housing, utilities, and energy"
91,9,27.28935195,"Housing, utilities, and energy"
91,10,24.58396807,"Housing, utilities, and energy"
92,1,37.8653257,"Housing, utilities, and energy"
92,2,33.17743709,"Housing, utilities, and energy"
92,3,33.40674002,"Housing, utilities, and energy"
92,4,30.88620702,"Housing, utilities, and energy"
92,5,30.91647664,"Housing, utilities, and energy"
92,6,30.04441721,"Housing, utilities, and energy"
92,7,26.41397389,"Housing, utilities, and energy"
92,8,28.09241477,"Housing, utilities, and energy"
92,9,25.71892157,"Housing, utilities, and energy"
92,10,25.1463841,"Housing, utilities, and energy"
93,1,38.8709215,"Housing, utilities, and energy"
93,2,36.85072795,"Housing, utilities, and energy"
93,3,73.35144306,"Housing, utilities, and energy"
93,4,32.59893481,"Housing, utilities, and energy"
93,5,32.92957321,"Housing, utilities, and energy"
93,6,31.03320541,"Housing, utilities, and energy"
93,7,30.68398617,"Housing, utilities, and energy"
93,8,27.83385086,"Housing, utilities, and energy"
93,9,27.7123615,"Housing, utilities, and energy"
93,10,21.54534107,"Housing, utilities, and energy"
94,1,38.26536049,"Housing, utilities, and energy"
94,2,36.86648703,"Housing, utilities, and energy"
94,3,32.92008446,"Housing, utilities, and energy"
94,4,33.82075597,"Housing, utilities, and energy"
94,5,32.15411623,"Housing, utilities, and energy"
94,6,32.49224848,"Housing, utilities, and energy"
94,7,31.30189615,"Housing, utilities, and energy"
94,8,29.44455671,"Housing, utilities, and energy"
94,9,28.45095424,"Housing, utilities, and energy"
94,10,24.73605969,"Housing, utilities, and energy"
95,1,37.49174706,"Housing, utilities, and energy"
95,2,35.08378983,"Housing, utilities, and energy"
95,3,34.06868715,"Housing, utilities, and energy"
95,4,36.10707571,"Housing, utilities, and energy"
95,5,32.36896976,"Housing, utilities, and energy"
95,6,31.41911449,"Housing, utilities, and energy"
95,7,30.75678746,"Housing, utilities, and energy"
95,8,28.28692462,"Housing, utilities, and energy"
95,9,28.14131434,"Housing, utilities, and energy"
95,10,25.86238177,"Housing, utilities, and energy"
96,1,37.27795417,"Housing, utilities, and energy"
96,2,35.73898275,"Housing, utilities, and energy"
96,3,33.99487665,"Housing, utilities, and energy"
96,4,33.00707776,"Housing, utilities, and energy"
96,5,32.0994413,"Housing, utilities, and energy"
96,6,30.89489734,"Housing, utilities, and energy"
96,7,29.4692797,"Housing, utilities, and energy"
96,8,28.79115134,"Housing, utilities, and energy"
96,9,26.48874849,"Housing, utilities, and energy"
96,10,23.87227362,"Housing, utilities, and energy"
87,1,2.508131512,Furniture and household appliances
87,2,2.307921873,Furniture and household appliances
87,3,2.53751888,Furniture and household appliances
87,4,2.400453168,Furniture and household appliances
87,5,2.418453533,Furniture and household appliances
87,6,2.541113642,Furniture and household appliances
87,7,2.630670578,Furniture and household appliances
87,8,2.904279877,Furniture and household appliances
87,9,2.675644619,Furniture and household appliances
87,10,2.792635165,Furniture and household appliances
88,1,2.363300372,Furniture and household appliances
88,2,2.401091447,Furniture and household appliances
88,3,2.280317659,Furniture and household appliances
88,4,2.129633088,Furniture and household appliances
88,5,2.306005995,Furniture and household appliances
88,6,2.298308705,Furniture and household appliances
88,7,2.593682833,Furniture and household appliances
88,8,2.815076976,Furniture and household appliances
88,9,2.806932908,Furniture and household appliances
88,10,3.724241791,Furniture and household appliances
89,1,2.159710294,Furniture and household appliances
89,2,2.055759895,Furniture and household appliances
89,3,2.282629873,Furniture and household appliances
89,4,2.109672307,Furniture and household appliances
89,5,2.319506021,Furniture and household appliances
89,6,2.12378622,Furniture and household appliances
89,7,2.291253036,Furniture and household appliances
89,8,2.279892733,Furniture and household appliances
89,9,2.531549538,Furniture and household appliances
89,10,2.567785593,Furniture and household appliances
90,1,1.918017029,Furniture and household appliances
90,2,1.969704051,Furniture and household appliances
90,3,1.84913462,Furniture and household appliances
90,4,1.906345906,Furniture and household appliances
90,5,1.993292279,Furniture and household appliances
90,6,2.058260197,Furniture and household appliances
90,7,2.119909953,Furniture and household appliances
90,8,2.214171477,Furniture and household appliances
90,9,2.245050397,Furniture and household appliances
90,10,2.809944216,Furniture and household appliances
91,1,1.821193452,Furniture and household appliances
91,2,1.900880927,Furniture and household appliances
91,3,1.910107849,Furniture and household appliances
91,4,1.978213194,Furniture and household appliances
91,5,2.094115214,Furniture and household appliances
91,6,1.629943685,Furniture and household appliances
91,7,2.086846052,Furniture and household appliances
91,8,2.286298621,Furniture and household appliances
91,9,2.382617044,Furniture and household appliances
91,10,3.009123757,Furniture and household appliances
92,1,1.928487653,Furniture and household appliances
92,2,1.703860224,Furniture and household appliances
92,3,2.144918961,Furniture and household appliances
92,4,2.099985745,Furniture and household appliances
92,5,2.158716613,Furniture and household appliances
92,6,2.317330098,Furniture and household appliances
92,7,2.163665907,Furniture and household appliances
92,8,2.376569716,Furniture and household appliances
92,9,2.536375019,Furniture and household appliances
92,10,3.329017297,Furniture and household appliances
93,1,2.071438886,Furniture and household appliances
93,2,2.036302778,Furniture and household appliances
93,3,3.533174302,Furniture and household appliances
93,4,1.735547444,Furniture and household appliances
93,5,2.133454358,Furniture and household appliances
93,6,2.14357918,Furniture and household appliances
93,7,2.220254213,Furniture and household appliances
93,8,2.185761428,Furniture and household appliances
93,9,2.403231392,Furniture and household appliances
93,10,3.055260307,Furniture and household appliances
94,1,2.093887539,Furniture and household appliances
94,2,2.092905636,Furniture and household appliances
94,3,1.986915525,Furniture and household appliances
94,4,2.133227556,Furniture and household appliances
94,5,2.031232962,Furniture and household appliances
94,6,2.228202756,Furniture and household appliances
94,7,2.253609599,Furniture and household appliances
94,8,2.371735577,Furniture and household appliances
94,9,2.355594683,Furniture and household appliances
94,10,2.897407284,Furniture and household appliances
95,1,1.962755307,Furniture and household appliances
95,2,1.94993281,Furniture and household appliances
95,3,2.009627384,Furniture and household appliances
95,4,2.912516062,Furniture and household appliances
95,5,2.026943983,Furniture and household appliances
95,6,2.122372475,Furniture and household appliances
95,7,2.142275895,Furniture and household appliances
95,8,1.952402563,Furniture and household appliances
95,9,2.170147907,Furniture and household appliances
