year,GEO,UOM,variable,decile,value
93,Iran,Price of food items 1000Rials per kg ,Milk,7,21.29270944
93,Iran,Price of food items 1000Rials per kg ,Meat,4,266.4631408
93,Iran,Price of food items 1000Rials per kg ,Sugar,4,56.59139619
93,Iran,Price of food items 1000Rials per kg ,Yogurt,4,26.72817837
93,Iran,Price of food items 1000Rials per kg ,Fruit,4,27.22984277
93,Iran,Price of food items 1000Rials per kg ,Chicken,4,62.65437149
93,Iran,Price of food items 1000Rials per kg ,Bread,4,13.42711373
93,Iran,Price of food items 1000Rials per kg ,Milk,4,20.71116076
93,Iran,Price of food items 1000Rials per kg ,Sugar,9,71.12822997
93,Iran,Price of food items 1000Rials per kg ,Rice,7,53.7248258
93,Iran,Price of food items 1000Rials per kg ,Sugar,7,60.9059889
93,Iran,Price of food items 1000Rials per kg ,Yogurt,7,27.32660744
93,Iran,Price of food items 1000Rials per kg ,Fish,7,162.7249982
93,Iran,Price of food items 1000Rials per kg ,Rice,8,53.88210697
93,Iran,Price of food items 1000Rials per kg ,Sugar,8,64.43597404
93,Iran,Price of food items 1000Rials per kg ,Rice,4,51.23424484
93,Iran,Price of food items 1000Rials per kg ,Sugar,3,52.66475084
93,Iran,Price of food items 1000Rials per kg ,Fish,8,163.6664271
93,Iran,Price of food items 1000Rials per kg ,Fish,10,180.1788079
93,Iran,Price of food items 1000Rials per kg ,Yogurt,10,28.25627628
93,Iran,Price of food items 1000Rials per kg ,Fish,4,157.3889043
93,Iran,Price of food items 1000Rials per kg ,Fish,1,174.874815
93,Iran,Price of food items 1000Rials per kg ,Fish,3,164.212307
92,Iran,Price of food items 1000Rials per kg ,Meat,4,257.9499103
92,Iran,Price of food items 1000Rials per kg ,Sugar,4,46.903396
92,Iran,Price of food items 1000Rials per kg ,Yogurt,4,24.23618616
92,Iran,Price of food items 1000Rials per kg ,Fruit,4,23.53974356
92,Iran,Price of food items 1000Rials per kg ,Chicken,4,59.70781707
92,Iran,Price of food items 1000Rials per kg ,Bread,4,12.35821406
92,Iran,Price of food items 1000Rials per kg ,Milk,4,18.5044332
92,Iran,Price of food items 1000Rials per kg ,Fruit,2,23.67673168
92,Iran,Price of food items 1000Rials per kg ,Bread,2,12.65929011
