"","ProvinceName","Total_Exp_per","Total_Exp_per_Real","Net_Inc_per_Real","Cum_Total_Exp_per_Real","Cum_Net_Inc_per_Real","Year"
"42","Esfahan",50494647.160047,34738094.7391506,28898480.529276,61391729747417,51071531702768.5,"1401"
"43","Sistan and Baluchistan",23884144.6408913,16321939.3072641,12214723.1329423,13744416425986.2,10285802324517.3,"1401"
"44","Kurdistan",36252782.8722831,24852251.5413711,20947722.3623617,13238243963895.5,11158387748460.5,"1401"
"45","Hamadan",44554817.2634737,30465956.992431,24913683.9548228,17767147575840.6,14529171021713.2,"1401"
"46","Chahar Mahaal and Bakhtiari",42232973.7480016,28903595.5010892,27401972.8637443,8770701410014.45,8315038937773.78,"1401"
"47","Lorestan",29707942.2360661,20312053.7856856,17407055.8532408,11316565724864.6,9698088323220.69,"1401"
"48","Ilam",28809226.5545513,19732648.2727134,19407979.8403866,3592053255094.13,3532951897635.77,"1401"
"49","Kohkiluyeh and Buyer Ahmad",26326339.2113761,17943123.3807243,21603003.6237105,3813239803624.54,4591030867249.87,"1401"
"50","Bushehr",44542673.4831214,30538216.4684681,27000878.9641263,12230273723062.6,10813602714340.6,"1401"
"51","Zanjan",46567603.6180783,31860035.7105563,27006476.9606356,11459252324059.6,9713549497789.37,"1401"
"52","Semnan",30907178.3076136,21200019.6138624,22846833.8893824,5283811920178.58,5694257620597.79,"1401"
"53","Yazd",42992836.6971278,29534502.671286,32660731.6143907,11509688353738.7,12727989581223.2,"1401"
"54","Hormozgan",34721916.7594963,23713868.4890901,19238218.6567629,14186173872384,11508738651618.1,"1401"
"55","Tehran",75943982.7786763,52343178.9390064,34481408.7042186,249906961286679,164627832027485,"1401"
"56","Ardabil",28030456.6585776,19187200.5257958,21944016.4912183,8001551934568.19,9151214496947.64,"1401"
"57","Qom",37577679.165784,25892878.2825387,21188469.5040598,11535044648746.2,9439272803161.1,"1401"
"58","Qazvin",40393817.2901154,27692514.1435051,25357021.1131165,12248703491360.7,11215689244726.2,"1401"
"59","Golestan",37092462.8857061,25341568.3814462,24295063.1605197,15910325121759.6,15253292452907.6,"1401"
"60","North Khorasan",26446326.487999,18060940.7828784,16830893.950361,5079611715692.86,4733662942790.11,"1401"
"61","South Khorasan",31037211.744331,21224206.1526683,19776379.6983635,5371811976027.49,5005369460792.77,"1401"
"62","Alborz",59158333.7986091,40736069.8784651,30411659.4239319,40138405350091.1,29965470821523.8,"1401"
"63","Markazi",32384994.2822709,32384994.2822709,25850665.6746174,15829914745151.2,12635908784415.7,"1400"
"64","Gilan",27152958.9902737,27152958.9902737,25619922.2236781,24512578105100.5,23128615366725.5,"1400"
"65","Mazandaran",34399272.3802472,34399272.3802472,33815652.7067766,40712364444559.7,40021636554135.1,"1400"
"66","East Azarbaijan",24890911.950611,24890911.950611,28210401.0311661,32968236896791.8,37364930059388.8,"1400"
"67","West Azarbaijan",26105049.3991435,26105049.3991435,26361981.2355288,26959624296273.9,27224967053255.1,"1400"
"68","Kermanshah",23161152.9613392,23161152.9613392,18425884.5977004,14459739405293.7,11503464013190.3,"1400"
"69","Khuzestan",23028289.7110689,23028289.7110689,22980060.1255727,33214876693049.9,33145312702179.9,"1400"
"70","Fars",29663434.9940442,29663434.9940442,25709616.9509252,46913315711780.8,40660273400227.3,"1400"
"71","Kerman",16168395.5263052,16168395.5263052,19443347.2387956,16973662465492.8,20411723148023.8,"1400"
"72","Razavi Khorasan",26482466.2874408,26482466.2874408,21381044.134772,56910634674446.2,45947714178316,"1400"
"73","Esfahan",30483392.3555359,30483392.3555359,27897020.5979831,53098563893222.7,48593401724317.8,"1400"
"74","Sistan and Baluchistan",14563799.4131754,14563799.4131754,11980661.6772542,11952029573012.5,9832133676687.16,"1400"
"75","Kurdistan",24684872.7892702,24684872.7892702,20596023.7561968,12874987840190.8,10742350494614.6,"1400"
"76","Hamadan",22538177.3166834,22538177.3166834,22780060.691673,12984536948446.4,13123889105261.8,"1400"
"77","Chahar Mahaal and Bakhtiari",24869654.2179451,24869654.2179451,24388547.1109382,7403248406906.33,7260031481078.32,"1400"
"78","Lorestan",19363072.5702125,19363072.5702125,18145539.0790302,10644907234692.1,9975564545314.07,"1400"
"79","Ilam",18894316.3155882,18894316.3155882,19136251.6567906,3367552891243.6,3410673269041.44,"1400"
"80","Kohkiluyeh and Buyer Ahmad",20594570.7300838,20594570.7300838,21560287.9117749,4277039260082.33,4477597472941.58,"1400"
"81","Bushehr",28493982.1492979,28493982.1492979,25574372.6078864,10987564456590.8,9861733821327.09,"1400"
"82","Zanjan",26822945.3762072,26822945.3762072,23462499.8496368,9486444268257.82,8297958859321.2,"1400"
"83","Semnan",20825449.517909,20825449.517909,20640535.398346,5070143114180.61,5025124107545.92,"1400"
"84","Yazd",26476251.5121251,26476251.5121251,33869626.4425309,10105349772141.8,12927223542079.4,"1400"
"85","Hormozgan",21412771.9138256,21412771.9138256,17658981.1333477,12365811541918.5,10198008627564.9,"1400"
"86","Tehran",50964008.6734651,50964008.6734651,34912429.6625509,239248194373183,163894795079081,"1400"
"87","Ardabil",20558238.0530509,20558238.0530509,17957037.1823326,8440328540346.43,7372387314466.92,"1400"
"88","Qom",24944557.7953374,24944557.7953374,21962723.5228856,10853302263077.9,9555915116636.96,"1400"
"89","Qazvin",25627711.8090205,25627711.8090205,22759642.4305439,11152693252761.4,9904563952566.52,"1400"
"90","Golestan",22867522.162801,22867522.162801,22725927.8219066,14058312335069.5,13971264098929.2,"1400"
"91","North Khorasan",15081190.7201438,15081190.7201438,17191222.1804954,4173101202980.28,4756965898342.69,"1400"
"92","South Khorasan",19922364.7451567,19922364.7451567,19012994.9192647,4952062359974.12,4726022121091.79,"1400"
"93","Alborz",38536178.1140085,38536178.1140085,32600778.2865082,37128490063681.9,31409904456480.4,"1400"
"94","Markazi",20338643.3224817,28531527.0637521,22534412.2919259,13767232159491.1,10873462359986.1,"1399"
"95","Gilan",18784827.0612371,26387046.6342981,24564300.022359,23567960120076.3,21939948465170.2,"1399"
"96","Mazandaran",23217168.5430753,32669607.3202646,30565066.444663,38002594019224.6,35554507891089.8,"1399"
"97","East Azarbaijan",15004198.6014519,21052841.5955676,23206402.4119102,27463263438685.2,30272566295117.6,"1399"
"98","West Azarbaijan",13443945.9623811,18874027.1777829,25889627.4501005,19123145462502.5,26231344642814.4,"1399"
"99","Kermanshah",15774630.3113483,22115880.8681138,16978185.6383257,13599165725207.6,10439971239934.7,"1399"
"100","Khuzestan",15891754.0773918,22263413.4681966,20742022.5894473,31373401888661.4,29229471554845.9,"1399"
"101","Fars",17476609.0932075,24504332.420829,23134785.8983835,38053929519929,35927096356536.8,"1399"
"102","Kerman",11430228.4162358,16067287.597105,17868590.6722688,16474529068541.2,18321487971448.2,"1399"
"103","Razavi Khorasan",16424257.0722804,23036590.4198699,18930325.7144661,48531899171843,39881104022762.9,"1399"
"104","Esfahan",20037156.3525669,28048567.6164546,23679522.804179,48123320139497.8,40627288788449.2,"1399"
"105","Sistan and Baluchistan",9764030.29645689,13722045.7002828,11327463.5105823,10919853025782.5,9014270859622.8,"1399"
"106","Kurdistan",15982785.2935895,22422254.9048852,19276311.8673447,11466808425123,9857963717895.65,"1399"
"107","Hamadan",16791408.8816793,23563816.2078622,20519231.0932015,13408683283473.3,11676201703582.2,"1399"
"108","Chahar Mahaal and Bakhtiari",15997694.0773622,22471008.5161155,21143249.5680063,6562905218225.18,6175118612081.48,"1399"
"109","Lorestan",14687717.729435,20632112.6812214,17934166.1871128,11174372860262.2,9713162341106.47,"1399"
"110","Ilam",14063612.4916773,19737465.8915436,19452308.4308806,3441345602985.97,3391626688774.61,"1399"
"111","Kohkiluyeh and Buyer Ahmad",13631503.4841986,19176766.0052282,20741144.1730412,3894801175661.86,4212526381544.68,"1399"
"112","Bushehr",18323356.472302,25706323.8829563,23517396.321697,9552418542258.76,8739017438349.93,"1399"
"113","Zanjan",17792605.2884378,24972077.956689,22287856.5371513,8672552953578.56,7740349696787.28,"1399"
"114","Semnan",15229633.2704208,21352201.1685278,19905018.3939944,5076272305805.79,4732219072988.22,"1399"
"115","Yazd",18113054.6557763,25374287.8547303,28032368.9817334,9480214556845.08,10473313537110.3,"1399"
"116","Hormozgan",13980899.5973501,19672843.5088242,16414697.4037558,11005106695897.3,9182480215845.38,"1399"
"117","Tehran",35697199.1880035,49906319.3478037,32727195.0014581,230285623933092,151014994072538,"1399"
"118","Ardabil",12717780.9039376,17873768.3685085,17488940.4142953,7219447403029.36,7064010389559.25,"1399"
"119","Qom",16728442.5263153,23391066.4176814,19866783.342545,9935472416242.25,8438515558662.69,"1399"
"120","Qazvin",16870300.3615729,23667649.1003491,21361877.5715456,10130227167931.3,9143310838172.86,"1399"
"121","Golestan",14934488.7734827,21002897.6139186,22420844.9052762,12635616242202.4,13488671765997.9,"1399"
"122","North Khorasan",10219417.0056048,14365674.3608938,14956281.5954385,3917734883331.14,4078802335300.02,"1399"
"123","South Khorasan",12315775.3536482,17303014.9783279,17957745.9092362,4213612904507.42,4373052326071.28,"1399"
"124","Alborz",26174686.3592035,36615760.4281902,29724793.5390155,34483551466935.8,27993859361651.6,"1399"
"125","Markazi",13572300.6666479,25998918.0051411,21479993.2516564,12380736751884.2,10228815746425.2,"1398"
"126","Gilan",13077907.8650422,25097064.5098728,23706419.3464876,22172980426763,20944360722008.9,"1398"
"127","Mazandaran",16524638.2404398,31804896.7881225,27324456.3089577,36363842498628.7,31241171200740,"1398"
"128","East Azarbaijan",11726845.1984195,22474764.6118503,21403035.9729454,28866632616989.7,27490102209723,"1398"
"129","West Azarbaijan",10895565.7998549,20873214.8249509,22451550.1053965,20738499096470.6,22306647801016.2,"1398"
"130","Kermanshah",12892928.1915733,24659087.2160979,19050255.7755252,14934776172429.7,11537787410446.9,"1398"
"131","Khuzestan",12321154.9656093,23549049.4514973,20260919.6373767,32415478511431,27889338229125.7,"1398"
"132","Fars",13129498.1116835,25130529.8841209,20530888.9044773,38307220618261.9,31295849883761.9,"1398"
"133","Kerman",7682017.65977872,14745510.3874239,15148458.9941296,14765180898280.7,15168667038427.7,"1398"
"134","Razavi Khorasan",12794769.9000284,24481302.7660904,18324407.3592591,50530975712587.5,37822749551581.8,"1398"
"135","Esfahan",15436243.5607039,29450679.0347913,24148625.5637966,49749824615632.2,40793283071273.1,"1398"
"136","Sistan and Baluchistan",7554112.89633674,14507906.1245574,10411094.7745485,11190470278491.6,8030452199021.14,"1398"
"137","Kurdistan",11425892.4832367,21874715.3548202,18768056.2477806,10966997916715.8,9409458840106.03,"1398"
"138","Hamadan",13943925.6942052,26739321.3966254,22132252.3225804,15023140115515.9,12434718248161.7,"1398"
"139","Chahar Mahaal and Bakhtiari",11720608.1406984,22477984.2634423,21008391.9869914,6440437007130.03,6019366488896.76,"1398"
"140","Lorestan",10851788.3003112,20807542.7194175,16239117.7699933,11100782425723.8,8663536852055.94,"1398"
"141","Ilam",10503147.9296,20124673.2977809,20163799.9872729,3432846646462.17,3439520838029.02,"1398"
"142","Kohkiluyeh and Buyer Ahmad",11008025.2843857,21160616.2370138,20631915.4001825,4200043753187.45,4095105096289.83,"1398"
"143","Bushehr",11338511.425747,21711864.3635108,19846752.6038748,7776820713315.42,7108769387913.71,"1398"
"144","Zanjan",12655349.4990003,24257713.9175795,22039969.67595,8271152714477.12,7514968460408.68,"1398"
"145","Semnan",10343452.9100266,19774848.5972348,18948185.3452675,4588812941534.15,4396983253925.36,"1398"
"146","Yazd",13117260.1453329,25067026.2789359,26728397.0309016,9159366067191.8,9766422633106.3,"1398"
"147","Hormozgan",11945630.2681999,22966830.4105821,18241715.6868428,12440075559213.4,9880698268641.15,"1398"
"148","Tehran",27183558.3319407,51772532.6446694,31919892.0246136,234714452594427,144711096805920,"1398"
"149","Ardabil",11187855.8479874,21468580.8743634,18718580.8036744,8531979005346.93,7439082227253.9,"1398"
"150","Qom",13242552.2838298,25226498.4182167,21668147.6408145,10452978017064.4,8978521997186.13,"1398"
"151","Qazvin",12832098.6160036,24588339.8714459,20431185.7981787,10344683409015.4,8595706333080.74,"1398"
"152","Golestan",11440844.2707134,22000731.2603077,19108215.1843625,12947826359853.8,11245528583870.7,"1398"
"153","North Khorasan",10760717.640202,20681065.6279735,18042048.102385,5550322350038.65,4842070743573.8,"1398"
"154","South Khorasan",9010275.46094479,17297969.6526601,17307192.7630251,4125738741855.96,4127938545909.1,"1398"
"155","Alborz",19868942.6037705,37876003.4859576,28001307.53509,34850165319471.3,25764339078726.7,"1398"
"156","Markazi",10285448.8774134,26591364.6699368,23759800.2647234,12475976927652.9,11147480529401.3,"1397"
"157","Gilan",11199170.0317204,29016021.7581684,27648137.3803714,25332611892099.5,24138372228757.5,"1397"
"158","Mazandaran",13173487.3958514,34362755.0600279,30602649.3920459,38599132954848.4,34375466419694.8,"1397"
"159","East Azarbaijan",10649377.9357363,27536076.9309545,24878075.6932036,34796101294185.3,31437304740095.2,"1397"
"160","West Azarbaijan",8032195.98910746,20806588.8578382,17049412.368762,20249700507058.2,16593084846712,"1397"
"161","Kermanshah",11329474.1284925,29226238.417305,22292032.4023081,17414921780765.9,13283064179433.7,"1397"
"162","Khuzestan",10725155.9224415,27632226.0196863,22554464.6585659,37127957594673.5,30305238775088,"1397"
"163","Fars",11557889.8953003,29855170.8654838,23411589.6384359,44627569120067,34995691014713.3,"1397"
"164","Kerman",6493904.07494248,16838227.9222913,16894061.2697607,16453743825913.7,16508302274727,"1397"
"165","Razavi Khorasan",10547013.722344,27230813.3288913,20768905.7504343,55012669396306.1,41958091077634.4,"1397"
"166","Esfahan",13065940.2578762,33560789.6505574,25439947.7574763,55772629112092.6,42277097341336.7,"1397"
"167","Sistan and Baluchistan",5571024.48892947,14463788.2248102,11814405.5596818,10799170521231.2,8821048695053.03,"1397"
"168","Kurdistan",9116323.88331394,23566271.2718663,20521825.4389013,11569201025327.2,10074615588116.3,"1397"
"169","Hamadan",9723347.64753346,25173146.575425,19147810.6647963,13946426665716.9,10608270064510.5,"1397"
"170","Chahar Mahaal and Bakhtiari",10562583.1189956,27378337.3694269,22889987.8415895,7673573019565.59,6415582902252.85,"1397"
"171","Lorestan",8853586.45324665,22909715.1488705,19784125.0179834,12025332391357.3,10384707006064.5,"1397"
"172","Ilam",8574563.21661422,22173492.9744552,21260892.4410125,3688449688835.74,3536643153100.23,"1397"
"173","Kohkiluyeh and Buyer Ahmad",9430136.96844454,24506211.0398326,22760330.0250614,4742196898318.01,4404351463149.64,"1397"
"174","Bushehr",10549092.1039476,27258776.2877328,24455321.2386199,9394846282672.25,8428624286175.29,"1397"
"175","Zanjan",10490969.9856846,27172196.8733737,22439905.426087,9077932081228.56,7496925563895.98,"1397"
"176","Semnan",8825270.67894038,22737484.8772401,20895742.3462869,5139672031590.85,4723357182924.09,"1397"
"177","Yazd",11765467.1550443,30306358.2391077,27622098.7532955,10803731810510.1,9846836251969.78,"1397"
"178","Hormozgan",10803972.4365897,28075843.8462323,20926632.5536072,14695626641058,10953543571004.4,"1397"
"179","Tehran",21087979.4671645,53999804.5816201,34732422.8336636,240367764139833,154603426519225,"1397"
"180","Ardabil",9521447.36833949,24681988.6061371,21453773.5366242,9640241745807.82,8379371960387.59,"1397"
"181","Qom",11155569.5252456,28570609.2901657,24040907.0025109,11531955027789.6,9703631293423.47,"1397"
"182","Qazvin",11117914.2955574,28739968.7968611,22559787.998369,11866991775943.1,9315139502618.53,"1397"
"183","Golestan",9318933.68563777,24247702.3402875,20692894.8772987,13935057544153.8,11892123914404.1,"1397"
"184","North Khorasan",8582198.34011631,22299792.8862232,19791266.4213748,5868725693038.9,5208546749178.9,"1397"
"185","South Khorasan",6917910.40310546,17960694.8703914,18874144.2104869,4182560896552.65,4395278584728.71,"1397"
"186","Alborz",15551898.3652651,39883502.4611465,31563961.7007354,35811636160878.2,28341470594860.5,"1397"
"187","Markazi",8123238.32472559,26628815.3947396,23679353.2243086,12325386864793.7,10960201754050.2,"1396"
"188","Gilan",9502388.43449976,31252550.1491796,29721254.2010939,27225002758904.7,25891046450944.7,"1396"
"189","Mazandaran",11675562.1982032,38671925.6547009,36972271.7911084,43283900836354.9,41381547952644.2,"1396"
"190","East Azarbaijan",8801096.33481769,28886964.3066583,28424504.032398,36148656054959.2,35569941129574.4,"1396"
"191","West Azarbaijan",7024955.79602545,23096339.7110203,19143083.6350172,22091348681174.6,18310110636806.7,"1396"
"192","Kermanshah",8343208.90573242,27322172.6556536,20127289.2008156,15830548803203.7,11661811744820.2,"1396"
"193","Khuzestan",8385300.28437065,27404671.6710777,23660918.4024772,35932923281102,31024125226572.9,"1396"
"194","Fars",9010264.79196328,29531175.7497797,23387091.0869711,43974283185481.9,34825249595786.9,"1396"
"195","Kerman",5150939.25575002,16977093.1292058,18280245.9641891,16319230770449.1,17571886433076.8,"1396"
"196","Razavi Khorasan",9623559.21272132,31527562.9349029,23177392.1245572,62953922392784.5,46280384820394.4,"1396"
"197","Esfahan",11292827.5866264,36756016.1670808,29435477.6339378,60260532849508.6,48258700258422.6,"1396"
"198","Sistan and Baluchistan",4479107.02428994,14822212.073543,13362228.3923732,10949983280390.3,9871413036007.66,"1396"
"199","Kurdistan",7088770.90916824,23274854.1126756,19768724.8541158,11385500035422.2,9670385749236.98,"1396"
"200","Hamadan",7763478.23847864,25530734.641519,22035031.8192483,13746641106706.2,11864432357596.8,"1396"
"201","Chahar Mahaal and Bakhtiari",8901845.74957946,29279879.6519969,27138939.0919935,8160273179131.88,7563595185999.49,"1396"
"202","Lorestan",7451201.51818017,24496390.0049135,23349958.0377686,12622769302021.9,12032023227239.8,"1396"
"203","Ilam",7399872.21298629,24278361.680758,24338799.4658439,3987016833575.78,3996941987080.38,"1396"
"204","Kohkiluyeh and Buyer Ahmad",7021466.92458561,23206377.0671635,20306372.1386675,4496258763140.02,3934379908238.99,"1396"
"205","Bushehr",9219085.43649821,30268369.7809532,23381248.3766936,10280106965444.7,7941020148673.21,"1396"
"206","Zanjan",7813165.69001269,25668584.8938686,23981822.8555289,8400378098122.1,7848363293168.95,"1396"
"207","Semnan",7357883.00232645,24090383.3908252,22132210.3459608,5363555229283.49,4927581708055.75,"1396"
"208","Yazd",9718454.36485343,31730755.6793228,27514967.5495312,11125564479306.9,9647407982086.81,"1396"
"209","Hormozgan",8217785.06929575,27152492.111373,22304369.4244142,13985569874265.4,11488423081280.1,"1396"
"210","Tehran",16870364.8846428,54728517.0947918,35247751.3037404,242274552801459,156036261124704,"1396"
"211","Ardabil",7918500.23796646,26024284.2398428,22455835.8432683,10035016051451.9,8659015212835.95,"1396"
"212","Qom",9046602.28391137,29353248.4300657,27149415.1218988,11746113304768.9,10864218552839.6,"1396"
"213","Qazvin",8892907.89690416,29217989.7181608,24295630.3721611,11955329378907.8,9941213148789.71,"1396"
"214","Golestan",7506065.75569732,24817127.3969451,21525448.3970315,13906848130808.3,12062280094589.7,"1396"
"215","North Khorasan",7369726.50455841,24307362.6698895,21764988.8174552,6157954336701.78,5513876972047.63,"1396"
"216","South Khorasan",6144503.25203377,20265749.6331509,22440216.280803,4664263606817.81,5164727978108.17,"1396"
"217","Alborz",11501485.8862614,37367259.0421281,31973517.8413541,33159369368653.2,28373011970757.1,"1396"
"218","Markazi",7472027.02862319,26494573.3475435,22192699.5209917,12957727481656.4,10853805747430.9,"1395"
"219","Gilan",9054259.30509971,32227122.1751373,29251799.4561779,28534055109477.5,25899689497497.2,"1395"
"220","Mazandaran",9179685.64420656,33010478.9253507,33300567.8579359,35612860031430.6,35925818125016.3,"1395"
"221","East Azarbaijan",8140529.77105993,28988080.6002834,27948025.3937386,36515386501678.5,35205261199705.5,"1395"
"222","West Azarbaijan",5502747.045836,19639593.725349,17782055.9133649,19424422336494.1,17587235708778.1,"1395"
"223","Kermanshah",7172513.24854181,25504202.0051555,18981050.2820136,15709491754489.6,11691510788558.2,"1395"
"224","Khuzestan",7460592.44079673,26430799.9763478,24466374.5134741,35886180790686.4,33218999798298.8,"1395"
"225","Fars",8608210.16370201,30528995.8657412,23495693.3717709,45143409360646.9,34743222762998,"1395"
"226","Kerman",4416160.55521632,15819238.8719324,16800907.9025151,15104810405998.1,16042145299821.6,"1395"
"227","Razavi Khorasan",7727613.09065463,27408069.4789005,20762930.7181282,54981162944133.5,41650875042110.2,"1395"
"228","Esfahan",9374154.85587005,33054072.9994469,22553694.3218714,55682230293408.1,37993502380738.1,"1395"
"229","Sistan and Baluchistan",3995099.77825818,14300896.7326652,13178309.6039305,10103397629970.4,9310304417152.06,"1395"
"230","Kurdistan",6455268.93692109,22985319.860567,19134752.7373937,10722904553473,8926572634274.29,"1395"
"231","Hamadan",7580916.13382844,27088800.5634319,20141801.4682467,15827688192407.1,11768633038080.4,"1395"
"232","Chahar Mahaal and Bakhtiari",8410297.24954336,30037531.1669586,26751416.2992259,8231214703212.84,7330717359893.17,"1395"
"233","Lorestan",5705044.67956763,20362991.9783093,19548245.6447068,11022833728722.4,10581797687655.7,"1395"
"234","Ilam",6733973.60027371,23915104.3478427,21200575.6464621,3823570798237.45,3389569234932.01,"1395"
"235","Kohkiluyeh and Buyer Ahmad",5874514.85682661,21049244.909091,18786606.737436,3912023215599.49,3491509648759.23,"1395"
"236","Bushehr",7029452.6703863,25030906.9770209,22576931.9001778,7596229463944.41,6851511831474.55,"1395"
"237","Zanjan",6364353.10307938,22717098.2214061,21317930.6728417,7674767180218.04,7202071016443.51,"1395"
"238","Semnan",6257286.65410405,22207118.6236786,23808916.5631857,4717613659058.42,5057894807933.48,"1395"
"239","Yazd",8194664.85303823,28966729.8572262,26133013.8374983,10451225099217.1,9428817525583.25,"1395"
"240","Hormozgan",6047750.16180412,21668391.6867867,19675999.4615803,10598812104499.8,9624259348639.05,"1395"
"241","Tehran",14652972.9389211,51414750.38844,33111278.6533149,220873088926451,142243039968283,"1395"
"242","Ardabil",6289702.56002655,22429563.6256429,19262594.9473305,8847408660825.76,7598188364759.38,"1395"
"243","Qom",7740740.65377809,27152383.9474259,24140783.9087952,10307995279881.1,9164686499215.5,"1395"
"244","Qazvin",8279109.53269174,29399347.4934491,24226732.3663026,12060994111145.1,9938944273078.58,"1395"
"245","Golestan",5663969.63091369,20329088.631279,19396291.6919966,11911626192611.7,11365063154008.5,"1395"
"246","North Khorasan",6088031.89356324,21827869.091033,20367056.2553079,6163055182115.03,5750597599573.71,"1395"
"247","South Khorasan",5638585.38757578,20191013.933166,22376756.1018287,4178550524482.62,4630892052029.53,"1395"
"248","Alborz",10011289.0480501,35219146.6022523,27314893.491263,30872998254094.6,23944153689760.7,"1395"
"249","Markazi",6378369.43743658,24216091.5190319,20472826.0539183,11540880680048.6,9756918967950.25,"1394"
"250","Gilan",7854334.04286039,29963368.5028381,24576638.3400589,25881938225592.5,21228956125206.1,"1394"
"251","Mazandaran",7901590.23926246,30376824.7870982,26735149.9397152,31873430190708.9,28052337306945.1,"1394"
"252","East Azarbaijan",6623060.92239663,25202143.4478007,26094518.5333982,30868240550596.1,31961244757188.1,"1394"
"253","West Azarbaijan",5893383.73959192,22495246.5650534,18676992.8434833,21497942303838.3,17848967042760.3,"1394"
"254","Kermanshah",6652391.33141165,25254671.7171368,18651474.5883359,15121967076115.5,11168111302529.2,"1394"
"255","Khuzestan",6892423.38414942,26096242.782771,24166913.9914883,34139522348305.6,31615543554288.9,"1394"
"256","Fars",7627761.8510479,28886200.6043746,23800487.1496009,41373849556648.8,34089556746809.1,"1394"
"257","Kerman",3992563.08148308,15250638.9141393,17564660.0172406,14040561718858,16170974503512.6,"1394"
"258","Razavi Khorasan",6615398.9139621,25083549.848224,19619076.0824164,48863708279234.4,38218705733438.1,"1394"
"259","Esfahan",9091776.84666522,34234117.4933585,20777810.4263762,56092259171692.9,34044234605513.1,"1394"
"260","Sistan and Baluchistan",3606688.04813547,13819929.7005767,12437315.8832296,9434036810801.72,8490209314527.89,"1394"
"261","Kurdistan",6122233.16247432,23277475.7969154,19208480.5218604,10558150917013.3,8712544178144.38,"1394"
"262","Hamadan",6115127.546498,23339189.983346,20237923.5909571,13271316921850,11507850015678.7,"1394"
"263","Chahar Mahaal and Bakhtiari",8086306.15232541,30907313.1688964,22169114.978357,8222736132019.02,5897982194416.99,"1394"
"264","Lorestan",4956820.56687226,18905296.9017112,18785762.0746399,9934090741754.55,9871279254312.7,"1394"
"265","Ilam",4290794.96828302,16350569.5864467,15995425.7355403,2533422654002.42,2478395245167.58,"1394"
"266","Kohkiluyeh and Buyer Ahmad",6053659.30109815,23222558.4884498,18844573.5197223,4176437808796.76,3389083480080.94,"1394"
"267","Bushehr",6439309.24498821,24527370.6542607,21498350.1105231,7162065813156.07,6277582727323.06,"1394"
"268","Zanjan",5730581.03876182,21885736.1856339,20092162.9948429,7170511289443.97,6582875730652.35,"1394"
"269","Semnan",5440607.40163978,20622929.9880162,23018940.1972858,4272493651477.29,4768879878552.09,"1394"
"270","Yazd",6866154.21906176,25949860.5850386,24114052.3357848,9097761622508.67,8454145608402.79,"1394"
"271","Hormozgan",5816362.75819867,22266897.4639915,21562935.3941767,10477822203066,10146568627342.2,"1394"
"272","Tehran",12930771.4562249,48432487.6882964,29551857.1152399,202593192865119,123615477416762,"1394"
"273","Ardabil",5592234.54914929,21336288.1613668,19739469.7386312,8175020145315.88,7563197569826.3,"1394"
"274","Qom",6080877.68292753,22783668.9754827,22339648.3622543,8382180167087.07,8218823651418.49,"1394"
"275","Qazvin",6892704.37201395,26147882.3576113,21681906.9560364,10423931745508.8,8643557253744.8,"1394"
"276","Golestan",5065749.03009798,19432612.6571836,18335239.0190993,10984886715465.4,10364562247955.5,"1394"
"277","North Khorasan",5651440.94695977,21705171.8855916,18947286.2598628,5946696172526.83,5191101700332.18,"1394"
"278","South Khorasan",5119459.55373466,19643194.885294,21800526.1188274,3971500428298.47,4407673971756.72,"1394"
"279","Alborz",8901499.33241178,33450202.4841989,24482134.3663795,28270605880533.1,20691198270417.5,"1394"
"280","Markazi",5707649.30516025,24096070.3661491,19511902.5179743,11182673008015,9055220303859.09,"1393"
"281","Gilan",6808718.38704495,28858167.0201134,21991583.6708543,24303424802994.9,18520608036916,"1393"
"282","Mazandaran",6669055.30246334,28499122.6861334,24787494.9146762,29060612401295.6,25275858139485.1,"1393"
"283","East Azarbaijan",5967655.3179038,25279413.6774555,22455217.7519953,30082097805553.3,26721349841390.5,"1393"
"284","West Azarbaijan",5832307.69691144,24722255.2041318,17046953.9945132,22801039307708.2,15722201105691.5,"1393"
"285","Kermanshah",6080211.12318917,25667736.8957431,18163500.2544366,14928432781774.9,10563946238481.1,"1393"
"286","Khuzestan",6327213.14410117,26671042.2665757,23197762.9454214,33570600861558.4,29198815439535.4,"1393"
"287","Fars",6465730.16082332,27236284.0426859,20250011.3416569,37746847763610.5,28064551468436.3,"1393"
"288","Kerman",3543561.55628919,15057746.7287715,15695405.1589062,13348240742654.1,13913505811215.6,"1393"
"289","Razavi Khorasan",6472075.48500938,27259844.63553,20035076.9806273,51522578392761.7,37867377387542.4,"1393"
"290","Esfahan",8305269.80176738,34784070.5352442,21754666.579877,55390188704393.4,34642152816462.8,"1393"
"291","Sistan and Baluchistan",3194931.4576196,13598666.1322007,11922388.7759155,8958733254563.17,7854410113629.29,"1393"
"292","Kurdistan",5240839.88138128,22131307.4344236,18151040.4644848,9752027833134.18,7998147074432.46,"1393"
"293","Hamadan",4897623.61163264,20762409.3500527,18549759.0390922,11480906448661.2,10257386056810.6,"1393"
"294","Chahar Mahaal and Bakhtiari",7583383.44275888,32139794.0947797,20607000.940589,8293963124304.73,5317822055727.43,"1393"
"295","Lorestan",5139149.83943866,21796690.577432,15783366.3836858,11107898671927.4,8043424476255.65,"1393"
