"","ProvinceName","Total_Exp_per","Total_Exp_per_Real","Net_Inc_per_Real","Cum_Total_Exp_per_Real","Cum_Net_Inc_per_Real","Year"
"379","Khuzestan",3223275.79195032,26735345.7681808,22190233.3876842,29679335102789.8,24633733127402.5,"1390"
"380","Fars",4178526.65391985,34838901.6348763,24364192.5359577,43433588990397,30374790106193.5,"1390"
"381","Kerman",2575438.93933016,21801236.5004044,18187237.0636675,17090359913687.5,14257284317239,"1390"
"382","Razavi Khorasan",2958258.95521894,24533223.7095836,21304040.4230115,42101563340911,36559948986091.6,"1390"
"383","Esfahan",4369302.41502925,35933653.3738983,21427439.467205,52252275247893.6,31158325407325.8,"1390"
"384","Sistan and Baluchistan",1753410.611338,14866788.9105048,13898162.045903,8730610988427.45,8161779050428.82,"1390"
"385","Kurdistan",3092213.77535427,25877500.1102368,20728889.4936608,10398744031798.1,8329800598580.11,"1390"
"386","Hamadan",2868610.41762834,24069957.4113432,21208502.6976916,12178965190906.2,10731120611983.4,"1390"
"387","Chahar Mahaal and Bakhtiari",3908892.2079726,32834000.2661378,21006666.990861,7686472296303.1,4917681749227.53,"1390"
"388","Lorestan",3488909.8670853,29333316.1362255,18070530.9557099,13553781387220.5,8349687603926.3,"1390"
"389","Ilam",3875618.70943171,32558173.3062825,17578675.1009993,4401799914662.78,2376601716304.9,"1390"
"390","Kohkiluyeh and Buyer Ahmad",2758018.4991159,23368013.7378575,19652213.5385551,3641087060564.28,3062109652509.97,"1390"
"391","Bushehr",3112445.10410532,26023868.6364529,22894750.2095689,6404942501066.51,5634810132078.68,"1390"
"392","Zanjan",3403596.70351748,28701049.1405859,19018953.5304188,8231633099814.87,5454749986245.31,"1390"
"393","Semnan",3286324.33300814,27199981.3492387,22675066.2159188,5062297328832.23,4220147273709.52,"1390"
"394","Yazd",3108479.72400166,25665072.0332217,24744318.450584,7445734643230.66,7178613364971.63,"1390"
"395","South Khorasan",2474083.44536971,20915317.3323351,17355042.0926354,4240317437881.88,3518516427518.14,"1390"
"396","Hormozgan",3148210.70794182,26609087.7278219,18962008.9295199,10543318830394.8,7513316798143.63,"1390"
"397","Tehran",5749967.22763662,46825822.1568385,26514439.0186902,174724702150475,98935314893366.5,"1390"
"398","Ardabil",3717864.42248509,31269718.2768995,24818039.8031847,10567382403650.3,8387082825207.65,"1390"
"399","Qom",3302236.97575861,26912457.2474588,20509772.2574098,8638199052545.74,6583103640549.77,"1390"
"400","Qazvin",3582533.4097272,29846900.8472922,24632183.3879023,10514346842880.7,8677327035156.7,"1390"
"401","Golestan",2688168.97683148,22736192.5907839,20941740.3444626,10973555145364.1,10107468152033.9,"1390"
"402","North Khorasan",2606341.41930365,22000627.0050509,19882524.8710054,5290864786563.65,4781488758653.47,"1390"
"403","Alborz",3535927.68520587,28912550.3553991,23051498.4691421,20799197212318.1,16582856123226.9,"1390"
"404","Markazi",3067487.14235941,32669840.185419,20113888.4834115,13693177816465.8,8430498895028.01,"1389"
"405","Gilan",2901670.01099948,31787791.8571135,22817955.8667896,24061634764155.5,17271955302816.8,"1389"
"406","Mazandaran",3334303.15102574,36716073.2929761,29723944.2752424,32490423260802.6,26303017830283.2,"1389"
"407","East Azarbaijan",2960730.76106742,31623423.5904545,19941944.2466502,33191567888319.8,20930826619530.6,"1389"
"408","West Azarbaijan",2925709.28889805,31621075.9869786,19660434.7377147,23710224262750.4,14741854987045.4,"1389"
"409","Kermanshah",2918635.00610165,31158733.4784196,18712223.124903,15937089288478.8,9570940068345.95,"1389"
"410","Khuzestan",2847574.0783307,30225844.525119,21477052.9664579,30068295776929,21365106290927.9,"1389"
"411","Fars",3926101.69504003,42264483.6218617,21064437.234413,49013921168200.6,24428327938353.9,"1389"
"412","Kerman",2412229.46820235,26126374.6230962,17341438.6093183,18223489776179.2,12095881413327.9,"1389"
"413","Razavi Khorasan",2634003.12468372,28009157.4547675,20871221.0098697,45981039164354.8,34263095282767.1,"1389"
"414","Esfahan",3694108.7638832,38725972.2493894,23081054.9691075,55520379124196.6,33090684314361.5,"1389"
"415","Sistan and Baluchistan",1387142.52706566,15111843.3621683,13642480.402638,7932146349458.44,7160883588447.66,"1389"
"416","Kurdistan",2531444.66194291,27419272.5154696,21017429.135237,10549317650753,8086266184659.52,"1389"
"417","Hamadan",2593094.93495365,27931064.8956808,20830289.1610931,13592450082623,10136909089797.9,"1389"
"418","Chahar Mahaal and Bakhtiari",2709058.65416501,29693971.8438686,18625413.5090905,6514499967896.15,4086191512035.02,"1389"
"419","Lorestan",2490630.80829972,26654017.3939908,16736765.6509668,11641243350641.1,7309845978020.58,"1389"
"420","Ilam",2290431.62139313,24816394.8969746,17817350.0192856,3133856923260.07,2250005528357.12,"1389"
"421","Kohkiluyeh and Buyer Ahmad",2566200.24326507,27960072.3432051,19557332.198883,3944350968593.46,2758969335088.84,"1389"
"422","Bushehr",2485581.99930903,26703085.6797861,20263745.5183714,5792289845487.26,4395502782154.16,"1389"
"423","Zanjan",2879921.27819856,31434715.0564029,17378055.1804942,8441058441966.91,4666470783115.9,"1389"
"424","Semnan",2715062.71930632,28804933.5605038,22302674.402329,5339407430208.95,4134120468189.8,"1389"
"425","Yazd",2732176.18044745,28859178.8907331,22645023.4302829,8149414741241.77,6394627111784.21,"1389"
"426","South Khorasan",2001688.87548046,21837155.6662273,15946105.1229446,4335437446780.32,3165858335077.45,"1389"
"427","Hormozgan",2184949.95555457,23790976.1066388,14868524.4903719,8105234020594.26,5065486594380.31,"1389"
"428","Tehran",4589120.77019931,47343559.6828918,26768692.5264383,177512545428552,100368007390864,"1389"
"429","Alborz",3729290.85239842,38566447.9523444,23085169.415595,25617439094943.3,15334129869341.6,"1389"
"430","Ardabil",3098450.34045187,33764636.1478363,24302642.365,10823560821117.5,7790432765208.38,"1389"
"431","Qom",2450131.38205283,25352469.0521332,18985060.0818445,7886504665288.8,5905766598052.76,"1389"
"432","Qazvin",2781235.42657334,29829669.7585062,24971043.9666807,10103283481449.2,8457671106169.87,"1389"
"433","Golestan",2310841.05301087,25178222.6399822,21656459.034104,10759833908212.3,9254819356348.6,"1389"
"434","North Khorasan",2178852.07795729,23858639.7529937,19054983.918684,5322187683874.6,4250627939328.5,"1389"
"435","Markazi",2425321.81931601,29558063.0558216,21781717.347191,11855391372397.1,8736390589133.03,"1388"
"436","Gilan",2705892.01298201,34320271.9532944,21786644.2165577,24904491671534.9,15809469697103.4,"1388"
"437","Mazandaran",2538907.70570451,32683880.1606791,30855654.4978727,28235602330267.9,26656198277529.6,"1388"
"438","East Azarbaijan",2633183.38122759,32473594.2273111,19436859.8949448,32154141787455.4,19245653702211.4,"1388"
"439","West Azarbaijan",2422309.9366363,30298039.3999511,19034062.2968733,21980669089126.6,13808861334112.2,"1388"
"440","Kermanshah",2264005.81532586,27998435.4393591,18081301.9067631,13460431937110.4,8692704782646.23,"1388"
"441","Khuzestan",2576267.81335238,31778174.1443577,21868684.9977215,30099596728657.5,20713543718002.7,"1388"
"442","Fars",2994734.87796538,37656801.7356749,19990026.4357122,42153730354387.8,22377210631507,"1388"
"443","Kerman",1867168.39501684,23538360.8927222,17609844.4669814,16561135848774.7,12389946259327.1,"1388"
"444","Razavi Khorasan",2235203.10232161,27254518.6647065,21455499.6074304,44012603396362.9,34647920460818.9,"1388"
"445","Esfahan",3186857.61750047,38289922.7913405,23961981.2762841,51890202829061.4,32473088947929.5,"1388"
"446","Sistan and Baluchistan",1029383.38655793,13138361.7808306,12838671.0474043,7103337831886.26,6941308154204.6,"1388"
"447","Kurdistan",2271682.70585936,28507569.326442,20946641.6374411,10467547733927.5,7691289590305.91,"1388"
"448","Hamadan",2011590.26297927,25241185.9227617,22482706.7796988,11605758678082.4,10337425115987.6,"1388"
"449","Chahar Mahaal and Bakhtiari",2131868.51252578,27298471.988672,18471763.1905878,5805364260071.98,3928253342958.19,"1388"
"450","Lorestan",2518864.34259117,31242937.4337097,20231412.4175571,13096089724621.2,8480393139675.52,"1388"
"451","Ilam",2360041.76303373,29605424.8258758,20810887.1676645,3607686507205.24,2535993226894.45,"1388"
"452","Kohkiluyeh and Buyer Ahmad",1703857.47259416,21538527.5031415,16151855.032989,2990563947408.37,2242639629769.41,"1388"
"453","Bushehr",2566081.2203369,31803827.4225201,20689210.0090336,6788398904717.49,4416028570993.46,"1388"
"454","Zanjan",2251371.56237232,28195037.6256847,17260360.4985629,7289420314033.93,4462417256402.5,"1388"
"455","Semnan",2470084.82017319,30077756.5133055,22440756.308088,5316778024078.82,3966802508350.99,"1388"
"456","Yazd",2032243.36616479,24720698.7580402,21520788.5355606,6708113495073.85,5839798195553.49,"1388"
"457","South Khorasan",1436471.36068175,18289350.6833302,14685402.3365633,3084353573019.97,2476576339547.08,"1388"
"458","Hormozgan",2094090.04914969,26591588.3283613,18060930.4462916,9240365964559.36,6276030033384.3,"1388"
"459","Tehran",4098264.65748535,48256015.5221904,27752404.0797415,174244043876698,100209084024574,"1388"
"460","Alborz",3449235.4437228,40823658.5499055,23242974.4533198,26066154853152,14840780882180.2,"1388"
"461","Ardabil",2550096.59566593,32139409.564,22184578.6175619,9877325592940.38,6817931913512.42,"1388"
"462","Qom",2100815.31711334,24781788.5732614,18109607.6906206,7310923988032.26,5342550836789.22,"1388"
"463","Qazvin",2556929.92136753,31606174.1348453,24122766.6282765,10532173953814.9,8038466575939.87,"1388"
"464","Golestan",1874455.05166201,23779702.9111116,20125395.2078514,10038345086833.4,8495718506681.37,"1388"
